origin_id	chr	insert_position	LTR	insert_orientation	count	inserted_gene	gene_id	gene_orientation	exon_intron	nearest_gene	nearest_gene_id	nearest_gene_orientation	nearest_gene_distance	comment	pubmed_id
  PT1_Y0.2	chr1	117329507	3LTR	-	1	not found				CD2	914	+	17656		24968937
  PT1_Y4.8	chr2	43811727	5LTR	+	1	THADA	63892	-	intronic				0		24968937
  PT1_Y4.8	chr15	44962782	3LTR	-	1	PATL2	197135	-	intronic				0		24968937
  PT1_Y0.2	chr7	105717174	3LTR	+	1	not found				SYPL1	6856	-	13640		24968937
  PT1_Y0.2	chr3	114543432	3LTR	-	1	ZBTB20	26137	-	intronic				0		24968937
  PT1_Y0.2	chr12	12020890	5LTR	+	1	ETV6	2120	+	intronic				0		24968937
  PT4_Y12.2	chr17	66524287	3LTR	-	1	PRKAR1A	5573	+	intronic				0		24968937
  PT1_Y11.4	chr2	159370503	3LTR	+	1	PKP4	8502	+	intronic				0		24968937
  PT3_Y7.2	chr16	23946910	3LTR	+	1	PRKCB	5579	+	intronic				0		24968937
  PT1_Y11.4	chr6	90750365	5LTR	-	1	BACH2	60468	-	intronic				0		24968937
  PT1_Y0.2	chr6	34653953	3LTR	-	1	C6orf106			intronic				0		24968937
  PT1_Y11.4	chr22	39482729	3LTR	-	5	APOBEC3G	60489	+	intronic				0		24968937
  PT1_Y11.4	chrX	123105625	3LTR	+	1	STAG2	10735	+	intronic				0		24968937
  PT1_Y4.8	chr19	19544919	3LTR	+	1	GATAD2A	54815	+	intronic				0		24968937
  PT4_Y12.2	chr18	23719147	3LTR	-	1	PSMA8	143471	+	intronic				0		24968937
  PT4_Y12.2	chr11	73217928	3LTR	-	1	FAM168A	23201	-	intronic				0		24968937
  PT1_Y11.4	chr3	47095792	5LTR	-	1	SETD2	29072	-	intronic				0		24968937
  PT1_Y11.4	chr9	130827432	3LTR	-	4	NAIF1	203245	-	intronic				0		24968937
  PT1_Y11.4	chr16	14307633	3LTR	+	15	MKL2	57496	+	intronic				0		24968937
  PT1_Y11.4	chr19	50079055	3LTR	-	1	NOSIP	51070	-	intronic				0		24968937
  PT5_Y14.5	chr16	15738248	3LTR	-	1	NDE1	54820	+	intronic				0		24968937
  PT3_Y7.2	chr17	37960976	3LTR	+	1	IKZF3	22806	-	intronic				0		24968937
  PT1_Y11.4	chr17	76083679	3LTR	+	1	TNRC6C	57690	+	intronic				0		24968937
  PT1_Y11.4	chr11	75215968	5LTR	-	1	GDPD5	81544	-	intronic				0		24968937
  PT1_Y11.4	chr12	6858388	3LTR	-	1	MLF2	8079	-	intronic				0		24968937
  PT1_Y11.4	chr19	10416716	3LTR	-	1	ZGLP1	100125288	-	intronic				0		24968937
  PT1_Y11.4	chr16	31740868	3LTR	-	1	ZNF720	124411	+	intronic				0		24968937
  PT4_Y12.2	chr11	95398878	3LTR	+	1	not found				FAM76B	143684	-	103228		24968937
  PT1_Y11.4	chr9	115012006	3LTR	-	1	MIR3134			ncRNA_intronic				0		24968937
  PT1_Y11.4	chr2	219552263	5LTR	+	1	STK36	27148	+	intronic				0		24968937
  PT1_Y11.4	chr11	954831	5LTR	-	1	AP2A2	161	+	intronic				0		24968937
  PT1_Y4.8	chr15	85161682	5LTR	+	1	ZSCAN2	54993	+	intronic				0		24968937
  PT1_Y0.2	chr7	127011534	3LTR	-	1	ZNF800	168850	-	UTR3				0		24968937
  PT1_Y0.2	chr3	100450950	5LTR	+	1	TFG	10342	+	intronic				0		24968937
  PT3_Y7.2	chr19	810990	3LTR	-	1	PTBP1	5725	+	UTR3				0		24968937
  PT1_Y11.4	chr7	44868581	3LTR	-	2	H2AFV	94239	-	UTR3				0		24968937
  PT1_Y11.4	chr9	128427322	3LTR	-	1	MAPKAP1	79109	-	intronic				0		24968937
  PT1_Y0.2	chr6	41960772	3LTR	+	1	CCND3	896	-	intronic				0		24968937
  PT1_Y0.2	chrX	154506621	5LTR	-	1	CLIC2			UTR3				0		24968937
  PT1_Y4.8	chr1	52956520	3LTR	+	1	ZCCHC11	23318	-	intronic				0		24968937
  PT5_Y14.5	chr17	43482547	3LTR	+	1	ARHGAP27	201176	-	intronic				0		24968937
  PT1_Y11.4	chr12	76216573	5LTR	+	1	not found				PHLDA1	22822	-	202654		24968937
  PT3_Y7.2	chr6	69785326	3LTR	+	1	ADGRB3			intronic				0		24968937
  PT1_Y11.4	chr21	34918474	5LTR	-	1	SON	6651	+	intronic				0		24968937
  PT3_Y0	chr17	62523069	3LTR	-	1	CEP95	90799	+	intronic				0		24968937
  PT3_Y7.2	chr2	128279836	3LTR	+	2	IWS1	55677	-	intronic				0		24968937
  PT3_Y7.2	chr19	56655086	3LTR	+	1	ZNF444	55311	+	intronic				0		24968937
  PT3_Y7.2	chr7	130859778	5LTR	+	1	MKLN1	4289	+	intronic				0		24968937
  PT1_Y4.8	chr7	98504670	3LTR	-	1	TRRAP	8295	+	intronic				0		24968937
  PT1_Y0.2	chr1	1809470	5LTR	+	1	GNB1	2782	-	intronic				0		24968937
  PT1_Y0.2	chr15	75156768	5LTR	-	1	SCAMP2	10066	-	intronic				0		24968937
  PT1_Y11.4	chrX	117558931	3LTR	+	1	WDR44	54521	+	intronic				0		24968937
  PT5_Y14.5	chr15	90935491	3LTR	+	1	IQGAP1	8826	+	intronic				0		24968937
  PT3_Y7.2	chr6	32830785	3LTR	-	1	not found				PSMB9	5698	+	3157		24968937
  PT4_Y12.2	chr12	49099489	5LTR	-	1	CCNT1	904	-	intronic				0		24968937
  PT5_Y14.5	chr17	18185166	3LTR	+	1	TOP3A	7156	-	intronic				0		24968937
  PT3_Y7.2	chr11	65196009	3LTR	+	1	NEAT1	283131	+	ncRNA_exonic				0		24968937
  PT4_Y12.2	chr11	43746590	3LTR	+	1	HSD17B12	51144	+	intronic				0		24968937
  PT3_Y7.2	chr2	68679737	3LTR	+	1	not found				FBXO48	554251	-	9768		24968937
  PT1_Y11.4	chr5	162896981	5LTR	+	2	HMMR	3161	+	intronic				0		24968937
  PT1_Y0.2	chr12	62749267	3LTR	-	1	USP15	9958	+	intronic				0		24968937
  PT1_Y0.2	chr1	113126021	3LTR	+	1	ST7L	54879	-	intronic				0		24968937
  PT1_Y0.2	chr11	66990716	5LTR	+	1	KDM2A	22992	+	intronic				0		24968937
  PT4_Y12.2	chr9	134093569	3LTR	-	1	NUP214	8021	+	intronic				0		24968937
  PT1_Y11.4	chrX	123182588	5LTR	-	1	STAG2	10735	+	intronic				0		24968937
  PT1_Y0.2	chr6	158655712	5LTR	-	1	not found				GTF2H5	404672	+	35336		24968937
  PT1_Y0.2	chr1	230331850	5LTR	-	1	GALNT2	2590	+	intronic				0		24968937
  PT1_Y11.4	chr17	37959219	3LTR	+	1	IKZF3	22806	-	intronic				0		24968937
  PT1_Y11.4	chr22	40527774	3LTR	+	1	TNRC6B	23112	+	intronic				0		24968937
  PT3_Y7.2	chr11	9463849	5LTR	-	1	IPO7	10527	+	intronic				0		24968937
  PT4_Y12.2	chr9	131342244	3LTR	-	1	MIR1268A			ncRNA_intronic				0		24968937
  PT2_Y12.9	chr18	2706187	3LTR	+	1	SMCHD1	23347	+	intronic				0		24968937
  PT1_Y11.4	chr7	150181551	5LTR	+	1	not found				GIMAP8	155038	+	5068		24968937
  PT4_Y12.2	chr10	80823541	3LTR	+	1	ZMIZ1-AS1			ncRNA_intronic				0		24968937
  PT1_Y11.4	chr3	49242014	3LTR	+	1	CCDC36	339834	+	intronic				0		24968937
  PT1_Y11.4	chr9	133706183	3LTR	-	1	ABL1	25	+	intronic				0		24968937
  PT3_Y7.2	chr7	114616620	3LTR	-	1	MDFIC	29969	+	intronic				0		24968937
  PT1_Y11.4	chr11	122562384	3LTR	+	1	UBASH3B	84959	+	intronic				0		24968937
  PT1_Y11.4	chr3	107491132	5LTR	+	1	BBX	56987	+	intronic				0		24968937
  PT1_Y4.8	chr4	24550456	3LTR	-	1	DHX15	1665	-	intronic				0		24968937
  PT1_Y11.4	chr4	928788	5LTR	+	1	TMEM175	84286	+	intronic				0		24968937
  PT1_Y11.4	chr17	40394733	3LTR	-	1	STAT5B	6777	-	intronic				0		24968937
  PT1_Y11.4	chr1	1791270	3LTR	+	1	GNB1	2782	-	intronic				0		24968937
  PT1_Y11.4	chr12	80220397	3LTR	+	1	PPP1R12A	4659	-	intronic				0		24968937
  PT1_Y11.4	chr19	19546809	3LTR	-	1	GATAD2A	54815	+	intronic				0		24968937
  PT3_Y7.2	chr8	95842756	3LTR	-	1	INTS8	55656	+	intronic				0		24968937
  PT1_Y11.4	chr11	128379483	3LTR	-	1	ETS1	2113	-	intronic				0		24968937
  PT1_Y11.4	chr22	25496460	3LTR	+	1	KIAA1671	85379	+	intronic				0		24968937
  PT1_Y0.2	chr15	40461684	5LTR	+	1	BUB1B	701	+	intronic				0		24968937
  PT1_Y11.4	chr3	69321383	5LTR	-	1	FRMD4B	23150	-	intronic				0		24968937
  PT1_Y0.2	chr2	106799061	3LTR	-	1	UXS1	80146	-	intronic				0		24968937
  PT1_Y11.4	chr11	35010968	3LTR	+	1	PDHX	8050	+	intronic				0		24968937
  PT1_Y11.4	chr19	16500352	3LTR	+	2	EPS15L1	58513	-	intronic				0		24968937
  PT1_Y11.4	chr10	104043452	3LTR	+	1	GBF1	8729	+	intronic				0		24968937
  PT4_Y12.2	chr19	8525056	3LTR	+	1	HNRNPM	4670	+	intronic				0		24968937
  PT5_Y14.5	chr12	111956942	3LTR	+	1	ATXN2	6311	-	intronic				0		24968937
  PT1_Y0.2	chr20	21345760	3LTR	-	1	XRN2	22803	+	intronic				0		24968937
  PT1_Y0.2	chr16	2126449	5LTR	+	1	TSC2	7249	+	intronic				0		24968937
  PT4_Y12.2	chr16	50352524	3LTR	+	1	not found				BRD7	29117	-	405		24968937
  PT1_Y11.4	chr7	30359729	3LTR	-	1	ZNRF2	223082	+	intronic				0		24968937
  PT1_Y11.4	chr1	40696336	5LTR	+	1	RLF	6018	+	intronic				0		24968937
  PT1_Y0.2	chr5	50035002	5LTR	-	1	PARP8	79668	+	intronic				0		24968937
  PT3_Y0	chr11	95712890	3LTR	-	1	MAML2	84441	-	exonic				0		24968937
  PT1_Y11.4	chr16	69634061	3LTR	+	1	NFAT5	10725	+	intronic				0		24968937
  PT1_Y11.4	chr6	14693616	3LTR	+	1	not found				LINC01108			407931		24968937
  PT1_Y0.2	chr3	51434777	5LTR	-	1	RBM15B	29890	+	UTR3				0		24968937
  PT3_Y7.2	chr11	118140542	3LTR	-	1	not found				MPZL2	10205	-	5291		24968937
  PT1_Y11.4	chr9	96219534	3LTR	-	1	FAM120A	23196	+	intronic				0		24968937
  PT5_Y14.5	chr16	70164167	3LTR	+	1	PDPR	55066	+	intronic				0		24968937
  PT1_Y11.4	chr1	118475599	3LTR	-	1	WDR3	10885	+	intronic				0		24968937
  PT1_Y11.4	chr10	14803841	5LTR	+	1	FAM107B	83641	-	intronic				0		24968937
  PT3_Y7.2	chr17	47403627	3LTR	+	1	ZNF652	22834	-	intronic				0		24968937
  PT1_Y0.2	chr7	104666376	5LTR	+	1	KMT2E			intronic				0		24968937
  PT1_Y11.4	chr2	54820689	3LTR	+	1	SPTBN1	6711	+	intronic				0		24968937
  PT3_Y7.2	chr19	42780680	3LTR	+	1	CIC	23152	+	intronic				0		24968937
  PT5_Y14.5	chr11	761110	3LTR	-	1	TALDO1	6888	+	intronic				0		24968937
  PT1_Y11.4	chr2	198084497	5LTR	-	1	ANKRD44	91526	-	intronic				0		24968937
  PT1_Y11.4	chr1	10415716	5LTR	+	1	KIF1B	23095	+	intronic				0		24968937
  PT3_Y7.2	chr18	48720660	3LTR	+	1	MEX3C	51320	-	intronic				0		24968937
  PT4_Y12.2	chrY	15474488	3LTR	-	1	UTY	7404	-	intronic				0		24968937
  PT1_Y4.8	chr18	72012138	3LTR	+	1	C18orf63			intronic				0		24968937
  PT1_Y11.4	chr17	17832995	5LTR	-	1	TOM1L2	146691	-	intronic				0		24968937
  PT4_Y12.2	chr11	89951130	3LTR	+	1	CHORDC1	26973	-	intronic				0		24968937
  PT1_Y11.4	chr6	129952125	5LTR	-	1	ARHGAP18	93663	-	intronic				0		24968937
  PT1_Y11.4	chr17	75987657	5LTR	+	1	not found				TNRC6C	57690	+	12661		24968937
  PT3_Y7.2	chr12	905922	3LTR	+	1	WNK1	65125	+	intronic				0		24968937
  PT1_Y0.2	chr17	73951646	5LTR	+	1	ACOX1	51	-	splicing				0		24968937
  PT1_Y11.4	chr21	47989217	3LTR	+	1	DIP2A	23181	+	UTR3				0		24968937
  PT1_Y11.4	chr22	40648761	3LTR	-	1	TNRC6B	23112	+	intronic				0		24968937
  PT1_Y0.2	chr20	49522968	3LTR	+	1	ADNP	23394	-	intronic				0		24968937
  PT1_Y11.4	chr7	73239748	5LTR	+	1	not found				CLDN4	1364	+	5445		24968937
  PT1_Y11.4	chr6	25456567	5LTR	-	1	LRRC16A	55604	+	intronic				0		24968937
  PT1_Y0.2	chr11	128394397	3LTR	+	1	ETS1	2113	-	intronic				0		24968937
  PT1_Y11.4	chr21	47990522	3LTR	+	9	not found				DIP2A	23181	+	596		24968937
  PT1_Y11.4	chr1	167276059	5LTR	+	1	POU2F1	5451	+	intronic				0		24968937
  PT1_Y11.4	chr1	111714564	3LTR	+	7	CEPT1	10390	+	intronic				0		24968937
  PT1_Y0.2	chr8	60017181	5LTR	-	1	TOX	9760	-	intronic				0		24968937
  PT1_Y0.2	chr15	93360948	5LTR	+	1	not found				ASB9P1	728619	+	20610		24968937
  PT1_Y0.2	chr8	82438539	5LTR	+	1	FABP12	646486	-	intronic				0		24968937
  PT1_Y11.4	chr17	27766731	3LTR	+	1	TAOK1	57551	+	intronic				0		24968937
  PT1_Y11.4	chr5	180401794	5LTR	+	1	not found				BTNL3	10917	+	14051		24968937
  PT1_Y11.4	chr19	2844520	5LTR	-	2	ZNF555	148254	+	intronic				0		24968937
  PT1_Y11.4	chr17	27828819	5LTR	+	2	TAOK1	57551	+	intronic				0		24968937
  PT1_Y11.4	chr15	63844687	3LTR	-	1	USP3	9960	+	intronic				0		24968937
  PT1_Y4.8	chr12	56829394	5LTR	-	1	TIMELESS	8914	-	intronic				0		24968937
  PT1_Y0.2	chr21	16030088	3LTR	+	1	not found				LOC388813	388813	-	14660		24968937
  PT3_Y0	chr19	10288219	3LTR	-	1	DNMT1	1786	-	intronic				0		24968937
  PT1_Y11.4	chr6	31327204	5LTR	-	1	not found				HLA-B	3106	-	2215		24968937
  PT1_Y0.2	chr19	34721511	5LTR	+	2	not found				LSM14A	26065	+	1091		24968937
  PT3_Y0	chr11	63615264	3LTR	-	1	MARK2	2011	+	intronic				0		24968937
  PT1_Y11.4	chr7	30349446	3LTR	-	1	ZNRF2	223082	+	intronic				0		24968937
  PT1_Y4.8	chr2	70437377	5LTR	-	1	TIA1	7072	-	UTR3				0		24968937
  PT1_Y11.4	chr7	99618357	5LTR	-	2	ZKSCAN1	7586	+	intronic				0		24968937
  PT1_Y0.2	chr7	17898509	3LTR	+	1	SNX13	23161	-	intronic				0		24968937
  PT1_Y11.4	chr19	19400795	5LTR	-	1	SUGP1	57794	-	intronic				0		24968937
  PT3_Y7.2	chr5	94015987	3LTR	+	1	SLF1			intronic				0		24968937
  PT1_Y11.4	chr11	117041597	3LTR	+	2	PAFAH1B2	5049	+	UTR3				0		24968937
  PT1_Y0.2	chr10	76307914	3LTR	+	1	ADK	132	+	intronic				0		24968937
  PT5_Y14.5	chr12	56387531	3LTR	+	1	RAB5B	5869	+	UTR3				0		24968937
  PT4_Y12.2	chr8	29977903	3LTR	+	1	MIR548O2			ncRNA_intronic				0		24968937
  PT1_Y0.2	chr1	52707664	5LTR	+	1	ZFYVE9	9372	+	intronic				0		24968937
  PT1_Y0.2	chr13	21438770	3LTR	+	1	XPO4	64328	-	intronic				0		24968937
  PT4_Y12.2	chr2	64430121	3LTR	+	1	LINC00309	150992	-	ncRNA_intronic				0		24968937
  PT1_Y11.4	chr5	118684128	5LTR	-	1	TNFAIP8	25816	+	intronic				0		24968937
  PT1_Y0.2	chr3	69093696	5LTR	+	1	TMF1	7110	-	exonic				0		24968937
  PT1_Y11.4	chr11	65926950	5LTR	+	1	PACS1	55690	+	intronic				0		24968937
  PT1_Y0.2	chr1	213044365	3LTR	+	1	FLVCR1	28982	+	intronic				0		24968937
  PT1_Y11.4	chr6	42756261	3LTR	-	1	not found				GLTSCR1L			32533		24968937
  PT5_Y14.5	chr1	153617087	3LTR	+	1	CHTOP	26097	+	intronic				0		24968937
  PT1_Y0.2	chr7	92382425	3LTR	+	2	CDK6	1021	-	intronic				0		24968937
  PT1_Y11.4	chr17	40421711	3LTR	+	6	STAT5B	6777	-	intronic				0		24968937
  PT1_Y11.4	chr1	193604115	3LTR	-	1	not found				NONE			0		24968937
  PT1_Y11.4	chr4	48176597	3LTR	+	1	TEC	7006	-	intronic				0		24968937
  PT4_Y12.2	chr1	229269033	3LTR	+	1	not found				MIR4454			41397		24968937
  PT1_Y11.4	chr1	197564955	5LTR	+	1	DENND1B	163486	-	intronic				0		24968937
  PT1_Y0.2	chr15	35429463	3LTR	-	1	not found				ANP32AP1	723972	+	100064		24968937
  PT1_Y0.2	chr19	6254110	5LTR	-	1	MLLT1	4298	-	intronic				0		24968937
  PT1_Y11.4	chr4	123819447	3LTR	-	1	NUDT6	11162	-	intronic				0		24968937
  PT3_Y7.2	chr22	30515408	3LTR	-	62	HORMAD2	150280	+	intronic				0		24968937
  PT1_Y11.4	chr6	12097611	3LTR	-	1	HIVEP1	3096	+	intronic				0		24968937
  PT4_Y12.2	chr11	64640757	3LTR	+	1	EHD1	10938	-	intronic				0		24968937
  PT5_Y14.5	chr17	40404547	3LTR	-	1	STAT5B	6777	-	intronic				0		24968937
  PT1_Y11.4	chr13	72178434	3LTR	+	1	DACH1	1602	-	intronic				0		24968937
  PT4_Y12.2	chr17	4130306	3LTR	+	1	ANKFY1	51479	-	intronic				0		24968937
  PT3_Y7.2	chr11	108159694	3LTR	+	1	ATM	472	+	intronic				0		24968937
  PT2_Y12.9	chr19	12278194	3LTR	-	1	ZNF136	7695	+	intronic				0		24968937
  PT4_Y12.2	chr7	23028406	3LTR	-	1	FAM126A	84668	-	intronic				0		24968937
  PT1_Y11.4	chr20	48250191	5LTR	-	1	B4GALT5	9334	-	UTR3				0		24968937
  PT1_Y11.4	chr22	50815010	3LTR	-	1	PPP6R2	9701	+	intronic				0		24968937
  PT1_Y0.2	chr1	173917636	3LTR	-	1	RC3H1	149041	-	intronic				0		24968937
  PT5_Y14.5	chr8	146287378	3LTR	+	1	not found				NONE			0		24968937
  PT1_Y11.4	chr22	30514664	5LTR	+	1	HORMAD2	150280	+	intronic				0		24968937
  PT1_Y11.4	chr1	35949295	5LTR	-	6	KIAA0319L	79932	-	intronic				0		24968937
  PT1_Y11.4	chr1	93439116	3LTR	+	1	not found				FAM69A	388650	-	12037		24968937
  PT1_Y11.4	chr1	21135724	5LTR	+	1	EIF4G3	8672	-	intronic				0		24968937
  PT3_Y7.2	chr11	18515986	3LTR	+	3	TSG101	7251	-	intronic				0		24968937
  PT1_Y11.4	chr5	132391453	3LTR	-	1	HSPA4	3308	+	intronic				0		24968937
  PT1_Y11.4	chr16	14310205	5LTR	+	25	MKL2	57496	+	intronic				0		24968937
  PT1_Y11.4	chr1	197160006	5LTR	+	1	ZBTB41	360023	-	intronic				0		24968937
  PT1_Y11.4	chr8	78575844	3LTR	-	1	not found				LOC102724874			187277		24968937
  PT1_Y11.4	chr11	4082091	3LTR	-	3	STIM1	6786	+	intronic				0		24968937
  PT1_Y0.2	chrX	30868529	5LTR	+	1	TAB3	257397	-	intronic				0		24968937
  PT1_Y4.8	chr1	198506784	5LTR	-	2	ATP6V1G3	127124	-	intronic				0		24968937
  PT3_Y7.2	chr15	64594919	3LTR	-	1	CSNK1G1	53944	-	intronic				0		24968937
  PT1_Y11.4	chr19	47603701	3LTR	+	1	ZC3H4	23211	-	intronic				0		24968937
  PT3_Y0	chr2	69820999	3LTR	+	1	AAK1	22848	-	intronic				0		24968937
  PT1_Y11.4	chr3	47076655	5LTR	-	1	SETD2	29072	-	intronic				0		24968937
  PT1_Y0.2	chr13	21438775	5LTR	+	1	XPO4	64328	-	intronic				0		24968937
  PT3_Y7.2	chr11	46851467	5LTR	-	7	CKAP5	9793	-	intronic				0		24968937
  PT1_Y11.4	chr2	172078548	3LTR	+	1	TLK1	9874	-	intronic				0		24968937
  PT1_Y11.4	chr11	64539318	3LTR	+	1	SF1	7536	-	intronic				0		24968937
  PT1_Y11.4	chr17	28166950	5LTR	+	2	SSH2	85464	-	intronic				0		24968937
  PT3_Y7.2	chr1	37963910	3LTR	-	1	MEAF6	64769	-	intronic				0		24968937
  PT1_Y11.4	chr15	70413226	3LTR	-	1	not found				TLE3	7090	-	22970		24968937
  PT1_Y11.4	chr6	90745663	5LTR	-	2	BACH2	60468	-	intronic				0		24968937
  PT1_Y11.4	chr1	116857023	5LTR	-	1	not found				ATP1A1	476	+	58772		24968937
  PT2_Y12.9	chr2	242315100	3LTR	-	1	FARP2	9855	+	intronic				0		24968937
  PT1_Y11.4	chr16	30611838	5LTR	-	1	not found				ZNF689	115509	-	2041		24968937
  PT3_Y7.2	chr19	50126880	3LTR	-	1	PRR12	57479	+	intronic				0		24968937
  PT5_Y14.5	chr17	75979318	3LTR	-	1	not found				TNRC6C	57690	+	21000		24968937
